Month_Ending,Segment,City,Product,Miles,Reported_Accidents
9/30/15,Segment B,City 11,Product 6,"1,244",0
9/30/15,Segment B,City 31,Product 6,"13,975",0
9/30/15,Segment B,City 2,Product 6,"9,127,384",135
9/30/15,Segment E,City 3,Product 13,"142,172",1
9/30/15,Segment A,City 29,Product 9,"28,413",1
9/30/15,Segment A,City 28,Product 8,13,0
9/30/15,Segment A,City 37,Product 9,"46,113",1
9/30/15,Segment A,City 2,Product 9,"933,612",26
9/30/15,Segment A,City 3,Product 2,210,0
9/30/15,Segment A,City 38,Product 4,10,0
9/30/15,Segment A,City 38,Product 9,12,0
9/30/15,Segment A,City 11,Product 9,"14,527",0
9/30/15,Segment A,City 10,Product 2,8,0
9/30/15,Segment A,City 17,Product 12,246,0
9/30/15,Segment A,City 12,Product 4,"9,990",1
9/30/15,Segment A,City 39,Product 3,2,0
9/30/15,Segment A,City 34,Product 3,3,0
9/30/15,Segment A,City 40,Product 2,117,0
9/30/15,Segment A,City 6,Product 3,39,0
9/30/15,Segment A,City 7,Product 4,"404,901",16
9/30/15,Segment A,City 35,Product 12,1,-1
9/30/15,Segment A,City 35,Product 2,"1,041",0
9/30/15,Segment A,City 8,Product 12,"70,236",3
9/30/15,Segment A,City 35,Product 1,16,0
9/30/15,Segment A,City 32,Product 10,21,0
9/30/15,Segment A,City 33,Product 2,4,0
9/30/15,Segment A,City 38,Product 12,1,0
9/30/15,Segment A,City 33,Product 3,8,0
9/30/15,Segment A,City 27,Product 3,23,0
9/30/15,Segment A,City 41,Product 10,6,0
9/30/15,Segment A,City 42,Product 10,15,0
9/30/15,Segment A,City 30,Product 10,476,0
9/30/15,Segment F,City 2,Product 10,"1,061",0
9/30/15,Segment F,City 2,Product 14,872,0
9/30/15,Segment D,City 2,Product 9,"4,356,463",79
9/30/15,Segment B,City 16,Product 6,"1,216",0
9/30/15,Segment C,City 43,Product 7,"2,722",0
9/30/15,Segment C,City 1,Product 7,"7,625",0
9/30/15,Segment A,City 25,Product 9,"29,924",0
9/30/15,Segment A,City 6,Product 9,"21,875",0
9/30/15,Segment A,City 31,Product 10,"1,538",0
9/30/15,Segment A,City 3,Product 4,"55,698",2
9/30/15,Segment A,City 44,Product 9,"5,225",0
9/30/15,Segment A,City 45,Product 9,"7,600",0
9/30/15,Segment A,City 23,Product 9,"55,422",2
9/30/15,Segment A,City 23,Product 10,7,0
9/30/15,Segment A,City 24,Product 4,308,0
9/30/15,Segment A,City 33,Product 9,"18,656",0
9/30/15,Segment A,City 13,Product 4,"26,824",1
9/30/15,Segment A,City 16,Product 4,"8,109",0
9/30/15,Segment A,City 46,Product 12,162,0
9/30/15,Segment A,City 33,Product 12,"4,356",0
9/30/15,Segment A,City 47,Product 12,"3,072",0
9/30/15,Segment A,City 27,Product 2,15,0
9/30/15,Segment A,City 17,Product 8,2,0
9/30/15,Segment A,City 28,Product 4,"10,607",0
9/30/15,Segment A,City 21,Product 4,"3,597",0
9/30/15,Segment A,City 31,Product 9,"188,748",6
9/30/15,Segment A,City 48,Product 10,24,0
9/30/15,Segment A,City 34,Product 10,33,0
9/30/15,Segment A,City 35,Product 4,"483,254",7
9/30/15,Segment B,City 30,Product 6,"26,038",0
9/30/15,Segment B,City 20,Product 6,"2,745",0
9/30/15,Segment B,City 13,Product 6,"5,357",0
9/30/15,Segment C,City 44,Product 7,1,0
9/30/15,Segment C,City 7,Product 7,"135,263",1
9/30/15,Segment A,City 35,Product 9,"3,264,029",25
9/30/15,Segment A,City 5,Product 9,"9,399",0
9/30/15,Segment A,City 42,Product 2,9,0
9/30/15,Segment A,City 7,Product 10,237,0
9/30/15,Segment A,City 49,Product 9,"13,146",0
9/30/15,Segment A,City 2,Product 4,"273,917",8
9/30/15,Segment A,City 11,Product 10,105,0
9/30/15,Segment A,City 47,Product 2,14,0
9/30/15,Segment A,City 19,Product 3,7,0
9/30/15,Segment A,City 39,Product 4,"13,322",1
9/30/15,Segment A,City 22,Product 12,1,0
9/30/15,Segment A,City 23,Product 8,31,0
9/30/15,Segment A,City 23,Product 2,0,0
9/30/15,Segment A,City 40,Product 3,74,0
9/30/15,Segment A,City 42,Product 4,"2,939",0
9/30/15,Segment A,City 9,Product 1,4,0
9/30/15,Segment A,City 48,Product 12,739,0
9/30/15,Segment A,City 27,Product 10,14,0
9/30/15,Segment A,City 26,Product 1,7,0
9/30/15,Segment A,City 50,Product 3,32,0
9/30/15,Segment A,City 28,Product 10,68,0
9/30/15,Segment A,City 1,Product 2,114,0
9/30/15,Segment A,City 50,Product 2,8,0
9/30/15,Segment A,City 25,Product 10,4,0
9/30/15,Segment A,City 49,Product 8,12,0
9/30/15,Segment A,City 45,Product 1,5,0
9/30/15,Segment A,City 2,Product 3,15,0
9/30/15,Segment A,City 51,Product 12,199,0
9/30/15,Segment A,City 33,Product 8,45,0
9/30/15,Segment A,City 1,Product 10,76,0
9/30/15,Segment A,City 1,Product 3,40,0
9/30/15,Segment A,City 9,Product 2,11,0
9/30/15,Segment B,City 50,Product 6,"22,245",0
9/30/15,Segment B,City 52,Product 6,"1,794",0
9/30/15,Segment B,City 23,Product 6,"1,604",0
9/30/15,Segment B,City 39,Product 6,"3,415",0
9/30/15,Segment B,City 12,Product 6,"1,374",0
9/30/15,Segment C,City 27,Product 7,"5,584",0
9/30/15,Segment A,City 8,Product 4,"131,066",4
9/30/15,Segment A,City 43,Product 8,9,0
9/30/15,Segment A,City 1,Product 9,"36,483",1
9/30/15,Segment A,City 50,Product 10,17,0
9/30/15,Segment A,City 3,Product 10,21,0
9/30/15,Segment A,City 29,Product 10,439,0
9/30/15,Segment A,City 45,Product 2,4,0
9/30/15,Segment A,City 15,Product 9,"5,047",0
9/30/15,Segment A,City 10,Product 9,"113,768",3
9/30/15,Segment A,City 10,Product 4,"59,369",2
9/30/15,Segment A,City 53,Product 9,"61,314",2
9/30/15,Segment A,City 47,Product 4,"5,609",0
9/30/15,Segment A,City 14,Product 4,"11,648",0
9/30/15,Segment A,City 19,Product 10,0,-1
9/30/15,Segment A,City 10,Product 3,62,0
9/30/15,Segment A,City 7,Product 3,132,0
9/30/15,Segment A,City 25,Product 12,"25,469",1
9/30/15,Segment A,City 21,Product 2,8,0
9/30/15,Segment A,City 32,Product 4,756,0
9/30/15,Segment A,City 49,Product 2,39,0
9/30/15,Segment A,City 7,Product 1,"4,300",0
9/30/15,Segment A,City 27,Product 4,"14,662",0
9/30/15,Segment A,City 25,Product 3,"3,073",0
9/30/15,Segment A,City 6,Product 8,4,0
9/30/15,Segment A,City 7,Product 15,47,0
9/30/15,Segment A,City 35,Product 8,134,0
9/30/15,Segment A,City 30,Product 4,"82,381",1
9/30/15,Segment A,City 40,Product 10,304,0
9/30/15,Segment A,City 1,Product 4,"28,838",0
9/30/15,Segment A,City 49,Product 3,10,0
9/30/15,Segment A,City 52,Product 3,26,0
9/30/15,Segment A,City 21,Product 1,3,0
9/30/15,Segment A,City 28,Product 12,427,0
9/30/15,Segment A,City 44,Product 12,880,0
9/30/15,Segment A,City 30,Product 2,38,0
9/30/15,Segment A,City 25,Product 2,95,0
9/30/15,Segment F,City 2,Product 9,"13,140,430",185
9/30/15,Segment D,City 2,Product 14,293,-1
9/30/15,Segment C,City 49,Product 7,10,0
9/30/15,Segment C,City 54,Product 7,"158,724",1
9/30/15,Segment C,City 5,Product 7,976,0
9/30/15,Segment A,City 43,Product 4,"5,605",0
9/30/15,Segment A,City 42,Product 9,"7,554",0
9/30/15,Segment A,City 28,Product 9,"10,704",0
9/30/15,Segment A,City 26,Product 4,"2,061",0
9/30/15,Segment A,City 30,Product 9,"77,962",1
9/30/15,Segment A,City 48,Product 9,"4,510",0
9/30/15,Segment A,City 27,Product 9,"22,999",0
9/30/15,Segment A,City 8,Product 9,"455,347",15
9/30/15,Segment A,City 45,Product 12,"2,715",0
9/30/15,Segment A,City 4,Product 9,"2,530",0
9/30/15,Segment A,City 53,Product 4,"29,310",1
9/30/15,Segment A,City 36,Product 9,"3,447",0
9/30/15,Segment A,City 18,Product 9,"211,615",7
9/30/15,Segment A,City 33,Product 4,"10,919",0
9/30/15,Segment A,City 47,Product 10,14,0
9/30/15,Segment A,City 51,Product 9,"2,803",0
9/30/15,Segment A,City 47,Product 9,"23,379",1
9/30/15,Segment A,City 40,Product 4,"119,009",4
9/30/15,Segment A,City 20,Product 4,"8,716",0
9/30/15,Segment A,City 18,Product 3,8,0
9/30/15,Segment A,City 41,Product 12,159,0
9/30/15,Segment A,City 9,Product 4,"1,051",0
9/30/15,Segment A,City 32,Product 9,833,0
9/30/15,Segment A,City 41,Product 9,510,0
9/30/15,Segment A,City 5,Product 12,"1,721",0
9/30/15,Segment A,City 41,Product 8,0,0
9/30/15,Segment A,City 3,Product 12,"13,841",1
9/30/15,Segment A,City 2,Product 10,68,0
9/30/15,Segment A,City 11,Product 3,19,0
9/30/15,Segment A,City 51,Product 4,"4,469",0
9/30/15,Segment A,City 18,Product 12,"143,488",6
9/30/15,Segment A,City 26,Product 3,8,0
9/30/15,Segment A,City 43,Product 3,15,0
9/30/15,Segment A,City 19,Product 12,"4,543",0
9/30/15,Segment A,City 43,Product 10,411,0
9/30/15,Segment A,City 21,Product 12,608,0
9/30/15,Segment A,City 31,Product 8,2,0
9/30/15,Segment A,City 42,Product 12,594,0
9/30/15,Segment F,City 2,Product 2,"358,223",6
9/30/15,Segment B,City 54,Product 6,"139,701",2
9/30/15,Segment B,City 43,Product 6,"2,348",0
9/30/15,Segment B,City 27,Product 6,"2,611",0
9/30/15,Segment B,City 55,Product 6,"16,162",0
9/30/15,Segment B,City 40,Product 6,"49,024",1
9/30/15,Segment A,City 34,Product 9,"31,781",0
9/30/15,Segment A,City 29,Product 4,"24,756",1
9/30/15,Segment A,City 50,Product 9,"30,569",1
9/30/15,Segment A,City 25,Product 1,2,0
9/30/15,Segment A,City 34,Product 4,"29,189",1
9/30/15,Segment A,City 21,Product 9,"3,708",0
9/30/15,Segment A,City 1,Product 8,11,0
9/30/15,Segment A,City 3,Product 9,"100,300",3
9/30/15,Segment A,City 44,Product 2,2,0
9/30/15,Segment A,City 45,Product 4,"9,762",0
9/30/15,Segment A,City 4,Product 4,796,0
9/30/15,Segment A,City 39,Product 9,"30,621",1
9/30/15,Segment A,City 46,Product 4,153,0
9/30/15,Segment A,City 47,Product 8,3,0
9/30/15,Segment A,City 52,Product 9,"23,716",1
9/30/15,Segment A,City 12,Product 3,1,0
9/30/15,Segment A,City 52,Product 4,"31,288",1
9/30/15,Segment A,City 22,Product 9,48,0
9/30/15,Segment A,City 20,Product 9,"21,282",1
9/30/15,Segment A,City 19,Product 4,"1,832",0
9/30/15,Segment A,City 2,Product 8,6,0
9/30/15,Segment A,City 7,Product 9,"1,439,086",80
9/30/15,Segment A,City 9,Product 3,6,0
9/30/15,Segment A,City 8,Product 10,6,0
9/30/15,Segment A,City 35,Product 3,317,0
9/30/15,Segment A,City 6,Product 10,25,0
9/30/15,Segment A,City 43,Product 2,10,0
9/30/15,Segment A,City 35,Product 10,314,0
9/30/15,Segment A,City 26,Product 12,966,0
9/30/15,Segment A,City 48,Product 4,"1,322",0
9/30/15,Segment A,City 31,Product 4,"80,717",2
9/30/15,Segment A,City 25,Product 8,0,0
9/30/15,Segment A,City 6,Product 4,"19,291",0
9/30/15,Segment A,City 2,Product 14,61,0
9/30/15,Segment A,City 34,Product 2,15,0
9/30/15,Segment A,City 37,Product 2,29,0
9/30/15,Segment A,City 50,Product 4,"18,110",1
9/30/15,Segment A,City 3,Product 8,18,0
9/30/15,Segment A,City 37,Product 10,3,0
9/30/15,Segment A,City 31,Product 3,67,0
9/30/15,Segment F,City 2,Product 4,"3,959,965",61
9/30/15,Segment F,City 2,Product 6,0,0
9/30/15,Segment D,City 2,Product 2,"172,731",4
9/30/15,Segment D,City 2,Product 16,0,2
9/30/15,Segment B,City 1,Product 6,"17,706",0
9/30/15,Segment B,City 37,Product 6,"1,762",0
9/30/15,Segment G,City 19,Product 17,"88,139",1
9/30/15,Segment C,City 2,Product 7,"2,105,629",20
9/30/15,Segment C,City 9,Product 7,7,0
9/30/15,Segment C,City 56,Product 7,60,0
9/30/15,Segment A,City 7,Product 2,500,0
9/30/15,Segment A,City 40,Product 9,"191,139",6
9/30/15,Segment A,City 37,Product 4,"9,145",0
9/30/15,Segment A,City 43,Product 9,"10,408",0
9/30/15,Segment A,City 41,Product 4,273,0
9/30/15,Segment A,City 29,Product 2,62,0
9/30/15,Segment A,City 49,Product 4,"4,410",0
9/30/15,Segment A,City 19,Product 9,"5,673",0
9/30/15,Segment A,City 36,Product 4,"2,018",0
9/30/15,Segment A,City 46,Product 9,441,0
9/30/15,Segment A,City 44,Product 4,"5,913",0
9/30/15,Segment A,City 10,Product 10,61,0
9/30/15,Segment A,City 11,Product 2,62,0
9/30/15,Segment A,City 9,Product 10,12,0
10/31/15,Segment A,City 19,Product 2,123,0
10/31/15,Segment A,City 11,Product 3,18,0
10/31/15,Segment A,City 7,Product 10,80,0
10/31/15,Segment A,City 38,Product 12,4,0
10/31/15,Segment A,City 2,Product 14,126,0
10/31/15,Segment A,City 18,Product 4,"214,408",7
10/31/15,Segment A,City 42,Product 2,0,0
10/31/15,Segment B,City 54,Product 6,"245,565",4
10/31/15,Segment B,City 33,Product 6,496,0
10/31/15,Segment B,City 52,Product 6,"2,781",0
10/31/15,Segment B,City 45,Product 6,412,0
10/31/15,Segment B,City 10,Product 6,"15,185",0
10/31/15,Segment B,City 2,Product 6,"11,374,995",1534
10/31/15,Segment C,City 27,Product 7,"5,953",0
10/31/15,Segment A,City 4,Product 8,1,0
10/31/15,Segment A,City 11,Product 9,"15,315",0
10/31/15,Segment A,City 52,Product 9,"28,837",1
10/31/15,Segment A,City 52,Product 3,15,0
10/31/15,Segment A,City 46,Product 12,138,0
10/31/15,Segment A,City 33,Product 2,65,0
10/31/15,Segment A,City 33,Product 12,"2,478",0
10/31/15,Segment A,City 19,Product 9,"6,682",0
10/31/15,Segment A,City 19,Product 4,"3,016",0
10/31/15,Segment A,City 17,Product 4,"6,926",0
10/31/15,Segment A,City 41,Product 9,689,0
10/31/15,Segment A,City 29,Product 4,"24,734",1
10/31/15,Segment A,City 7,Product 15,28,0
10/31/15,Segment A,City 30,Product 10,500,0
10/31/15,Segment A,City 50,Product 9,"33,381",1
10/31/15,Segment A,City 28,Product 10,76,0
10/31/15,Segment F,City 2,Product 2,"437,830",7
10/31/15,Segment A,City 48,Product 2,7,0
10/31/15,Segment A,City 49,Product 4,"4,575",0
10/31/15,Segment A,City 29,Product 10,560,0
10/31/15,Segment A,City 11,Product 2,110,0
10/31/15,Segment A,City 57,Product 4,0,0
10/31/15,Segment A,City 26,Product 4,"2,587",0
10/31/15,Segment A,City 21,Product 4,"4,411",0
10/31/15,Segment A,City 34,Product 3,5,0
10/31/15,Segment A,City 21,Product 2,31,0
10/31/15,Segment A,City 27,Product 10,12,0
10/31/15,Segment A,City 21,Product 8,5,0
10/31/15,Segment A,City 27,Product 2,21,0
10/31/15,Segment A,City 25,Product 10,60,0
10/31/15,Segment A,City 10,Product 2,54,0
10/31/15,Segment A,City 42,Product 4,"3,727",0
10/31/15,Segment A,City 31,Product 2,77,0
10/31/15,Segment A,City 18,Product 8,0,0
10/31/15,Segment B,City 43,Product 6,"2,131",0
10/31/15,Segment B,City 42,Product 6,114,0
10/31/15,Segment B,City 26,Product 6,215,0
10/31/15,Segment B,City 47,Product 6,397,0
10/31/15,Segment E,City 3,Product 13,"221,886",2
10/31/15,Segment C,City 32,Product 7,1,0
10/31/15,Segment D,City 2,Product 14,281,-1
10/31/15,Segment D,City 2,Product 16,0,2
10/31/15,Segment B,City 32,Product 6,28,0
10/31/15,Segment B,City 55,Product 6,"18,576",0
10/31/15,Segment B,City 25,Product 6,"4,605",0
10/31/15,Segment B,City 9,Product 6,40,0
10/31/15,Segment B,City 34,Product 6,"16,876",0
10/31/15,Segment B,City 20,Product 6,"3,411",0
10/31/15,Segment B,City 13,Product 6,"6,607",0
10/31/15,Segment B,City 12,Product 6,903,0
10/31/15,Segment C,City 25,Product 7,"14,510",0
10/31/15,Segment C,City 56,Product 7,303,0
10/31/15,Segment A,City 45,Product 9,"5,153",0
10/31/15,Segment A,City 47,Product 9,"20,786",1
10/31/15,Segment A,City 51,Product 4,"4,533",0
10/31/15,Segment A,City 33,Product 10,236,0
10/31/15,Segment A,City 20,Product 3,9,0
10/31/15,Segment A,City 25,Product 9,"29,727",0
10/31/15,Segment A,City 1,Product 8,45,0
10/31/15,Segment A,City 41,Product 4,306,0
10/31/15,Segment A,City 28,Product 2,4,0
10/31/15,Segment A,City 27,Product 3,36,0
10/31/15,Segment A,City 6,Product 9,"24,968",0
10/31/15,Segment A,City 37,Product 9,"54,119",2
10/31/15,Segment A,City 5,Product 2,28,0
10/31/15,Segment A,City 44,Product 9,"3,861",0
10/31/15,Segment A,City 49,Product 3,5,0
10/31/15,Segment A,City 2,Product 2,"21,933",1
10/31/15,Segment A,City 46,Product 9,418,0
10/31/15,Segment A,City 25,Product 4,"57,725",1
10/31/15,Segment A,City 29,Product 12,"16,246",1
10/31/15,Segment A,City 3,Product 4,"60,376",2
10/31/15,Segment A,City 23,Product 8,15,0
10/31/15,Segment A,City 44,Product 4,"4,996",0
10/31/15,Segment A,City 30,Product 2,38,0
10/31/15,Segment A,City 3,Product 8,13,0
10/31/15,Segment B,City 7,Product 6,"235,775",3
10/31/15,Segment B,City 16,Product 6,"1,138",0
10/31/15,Segment G,City 19,Product 17,"124,168",1
10/31/15,Segment C,City 54,Product 7,"161,518",1
10/31/15,Segment C,City 7,Product 7,"122,843",1
10/31/15,Segment C,City 5,Product 7,"1,051",0
10/31/15,Segment C,City 35,Product 7,"403,370",4
10/31/15,Segment F,City 2,Product 10,996,0
10/31/15,Segment A,City 13,Product 9,"58,405",2
10/31/15,Segment A,City 14,Product 9,"8,484",0
10/31/15,Segment A,City 20,Product 9,"21,447",1
10/31/15,Segment A,City 22,Product 9,"1,334",0
10/31/15,Segment A,City 52,Product 4,"41,586",2
10/31/15,Segment A,City 47,Product 12,"2,597",0
10/31/15,Segment A,City 46,Product 4,286,0
10/31/15,Segment A,City 43,Product 9,"9,872",0
10/31/15,Segment A,City 31,Product 9,"186,204",6
10/31/15,Segment A,City 35,Product 1,47,0
10/31/15,Segment A,City 9,Product 4,41,0
10/31/15,Segment A,City 25,Product 3,"3,015",0
10/31/15,Segment A,City 37,Product 3,5,0
10/31/15,Segment A,City 7,Product 4,"394,704",5
10/31/15,Segment A,City 50,Product 10,2,0
10/31/15,Segment A,City 12,Product 4,"6,659",0
10/31/15,Segment A,City 26,Product 3,3,0
10/31/15,Segment A,City 35,Product 3,194,0
10/31/15,Segment A,City 27,Product 1,11,0
10/31/15,Segment A,City 50,Product 8,9,0
10/31/15,Segment A,City 39,Product 4,"13,074",0
10/31/15,Segment A,City 24,Product 4,470,0
10/31/15,Segment A,City 42,Product 12,975,0
10/31/15,Segment A,City 50,Product 4,"17,948",1
10/31/15,Segment A,City 26,Product 1,1,0
10/31/15,Segment A,City 2,Product 4,"314,240",9
10/31/15,Segment A,City 27,Product 4,"17,490",0
10/31/15,Segment A,City 40,Product 10,350,0
10/31/15,Segment A,City 28,Product 3,6,0
10/31/15,Segment A,City 21,Product 10,9,0
10/31/15,Segment A,City 31,Product 4,"83,590",3
10/31/15,Segment A,City 42,Product 10,7,0
10/31/15,Segment A,City 29,Product 3,3,0
10/31/15,Segment A,City 49,Product 2,31,0
10/31/15,Segment A,City 7,Product 8,189,0
10/31/15,Segment F,City 2,Product 4,"5,125,399",76
10/31/15,Segment D,City 2,Product 2,"158,642",4
10/31/15,Segment D,City 2,Product 9,"3,481,077",71
10/31/15,Segment B,City 6,Product 6,"9,912",0
10/31/15,Segment B,City 50,Product 6,"24,960",0
10/31/15,Segment B,City 37,Product 6,"2,049",0
10/31/15,Segment B,City 48,Product 6,190,0
10/31/15,Segment B,City 36,Product 6,312,0
10/31/15,Segment B,City 51,Product 6,25,0
10/31/15,Segment C,City 44,Product 7,7,0
10/31/15,Segment C,City 41,Product 7,1,0
10/31/15,Segment A,City 4,Product 9,"3,105",0
10/31/15,Segment A,City 33,Product 4,"8,193",0
10/31/15,Segment A,City 53,Product 9,"94,305",4
10/31/15,Segment A,City 53,Product 4,"53,256",2
10/31/15,Segment A,City 23,Product 9,"74,083",3
10/31/15,Segment A,City 15,Product 9,"5,102",0
10/31/15,Segment A,City 16,Product 4,"7,595",0
10/31/15,Segment A,City 22,Product 12,166,0
10/31/15,Segment A,City 1,Product 9,"41,641",1
10/31/15,Segment A,City 32,Product 9,"1,874",0
10/31/15,Segment A,City 31,Product 3,83,0
10/31/15,Segment A,City 42,Product 9,"9,617",0
10/31/15,Segment A,City 21,Product 9,"4,279",0
10/31/15,Segment A,City 32,Product 4,"1,710",0
10/31/15,Segment A,City 35,Product 10,268,0
10/31/15,Segment A,City 35,Product 4,"534,349",7
10/31/15,Segment A,City 1,Product 4,"33,282",0
10/31/15,Segment A,City 5,Product 9,"8,974",0
10/31/15,Segment A,City 7,Product 1,"4,574",0
10/31/15,Segment A,City 49,Product 9,"13,340",0
10/31/15,Segment A,City 2,Product 10,58,0
10/31/15,Segment A,City 2,Product 3,25,0
10/31/15,Segment A,City 45,Product 2,11,0
10/31/15,Segment A,City 20,Product 4,"9,545",0
10/31/15,Segment A,City 12,Product 3,2,0
10/31/15,Segment A,City 1,Product 2,159,0
10/31/15,Segment A,City 32,Product 12,264,0
10/31/15,Segment A,City 43,Product 2,14,0
10/31/15,Segment A,City 34,Product 2,63,0
10/31/15,Segment A,City 1,Product 10,90,0
10/31/15,Segment A,City 48,Product 12,974,0
10/31/15,Segment A,City 11,Product 10,244,0
10/31/15,Segment A,City 47,Product 8,3,0
10/31/15,Segment A,City 17,Product 3,3,0
10/31/15,Segment A,City 48,Product 4,"2,299",0
10/31/15,Segment A,City 42,Product 3,18,0
10/31/15,Segment A,City 30,Product 3,3,0
10/31/15,Segment F,City 2,Product 9,"16,734,840",228
10/31/15,Segment C,City 2,Product 7,"2,326,803",22
10/31/15,Segment C,City 1,Product 7,"8,924",0
10/31/15,Segment C,City 26,Product 7,12,0
10/31/15,Segment A,City 45,Product 12,"2,150",0
10/31/15,Segment A,City 39,Product 9,"27,091",1
10/31/15,Segment A,City 18,Product 9,"257,839",9
10/31/15,Segment A,City 19,Product 12,"2,589",0
10/31/15,Segment A,City 10,Product 3,20,0
10/31/15,Segment A,City 8,Product 9,"498,042",16
10/31/15,Segment A,City 27,Product 9,"27,371",0
10/31/15,Segment A,City 48,Product 9,"7,448",0
10/31/15,Segment A,City 28,Product 4,"11,222",0
10/31/15,Segment A,City 43,Product 4,"5,621",0
10/31/15,Segment A,City 37,Product 10,14,0
10/31/15,Segment A,City 40,Product 2,172,0
10/31/15,Segment A,City 25,Product 12,"27,175",1
10/31/15,Segment A,City 7,Product 2,539,0
10/31/15,Segment A,City 8,Product 2,203,0
10/31/15,Segment A,City 28,Product 8,7,0
10/31/15,Segment A,City 3,Product 9,"110,263",4
10/31/15,Segment A,City 3,Product 11,"42,117",1
10/31/15,Segment A,City 11,Product 4,"15,259",1
10/31/15,Segment A,City 10,Product 4,"55,031",2
10/31/15,Segment A,City 47,Product 4,"5,632",0
10/31/15,Segment A,City 43,Product 10,402,0
10/31/15,Segment A,City 21,Product 12,865,0
10/31/15,Segment A,City 44,Product 12,354,0
10/31/15,Segment A,City 53,Product 8,4,0
10/31/15,Segment A,City 5,Product 4,"2,750",0
10/31/15,Segment A,City 41,Product 8,8,0
10/31/15,Segment A,City 6,Product 8,11,0
10/31/15,Segment A,City 3,Product 2,382,0
10/31/15,Segment A,City 7,Product 5,43,0
10/31/15,Segment F,City 2,Product 14,"1,617",0
10/31/15,Segment F,City 2,Product 6,0,0
10/31/15,Segment B,City 27,Product 6,"3,697",0
10/31/15,Segment B,City 40,Product 6,"61,720",1
10/31/15,Segment B,City 4,Product 6,179,0
10/31/15,Segment B,City 31,Product 6,"12,698",0
10/31/15,Segment C,City 6,Product 7,"15,150",0
10/31/15,Segment A,City 33,Product 9,"11,774",0
10/31/15,Segment A,City 10,Product 10,20,0
10/31/15,Segment A,City 17,Product 9,"3,184",0
10/31/15,Segment A,City 10,Product 9,"96,927",3
10/31/15,Segment A,City 36,Product 9,"4,709",0
10/31/15,Segment A,City 24,Product 9,669,0
10/31/15,Segment A,City 12,Product 9,"28,805",1
10/31/15,Segment A,City 18,Product 12,"219,967",9
10/31/15,Segment A,City 35,Product 8,266,0
10/31/15,Segment A,City 7,Product 9,"1,452,038",17
10/31/15,Segment A,City 1,Product 1,31,0
10/31/15,Segment A,City 6,Product 10,55,0
10/31/15,Segment A,City 34,Product 9,"38,729",0
10/31/15,Segment A,City 5,Product 8,5,0
10/31/15,Segment A,City 6,Product 2,62,0
10/31/15,Segment A,City 31,Product 10,"1,647",0
10/31/15,Segment A,City 7,Product 3,73,0
10/31/15,Segment A,City 2,Product 9,"1,029,079",27
10/31/15,Segment A,City 3,Product 3,48,0
10/31/15,Segment A,City 38,Product 9,3,0
10/31/15,Segment A,City 4,Product 1,112,0
